CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26529742,ESCOLA AGAPE,6,7,1,2,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26529750,EDUCANDARIO CINHAMAX,4,4,0,0,Em Atividade,N,N,N,N,N,N,Privada,URBANA
26181185,ESCOLA CONTO DE FADA,10,7,0,1,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26182920,CENTRO PC ENSINO GRAU TECNICO,37,10,33,57,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26182955,CENTRO TECNOLOGICO DE CULTURA DIGITAL,21,4,65,75,Em Atividade,N,S,N,S,N,N,Pública,URBANA
26183099,CTPAC CURSOS TECNICOS E PROFISSIONALIZANTES COSTA,7,7,10,14,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26181827,EDUCANDARIO PRINCIPE DA PAZ,9,9,0,1,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26274604,EDUCANDARIO AQUINO MONTEIRO,7,5,0,1,Em Atividade,N,N,N,N,N,N,Privada,URBANA
26275600,INSTITUTO SANTO EXPEDITO,8,6,8,10,Em Atividade,S,S,N,N,N,S,Privada,URBANA
26180618,ESCOLA SANTA ROSA MISTICA,9,5,0,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26181991,COLEGIO SHALON ADONAI,4,4,0,0,Em Atividade,N,N,N,N,N,N,Privada,URBANA
26182009,COLEGIO EVOLUCAO,14,10,22,24,Em Atividade,S,S,N,S,N,S,Privada,URBANA
26205009,EDUCANDARIO ANUNCIADA MEDEIROS,9,8,1,2,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26180987,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SANTA BARBARA,19,4,0,0,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26521725,INSTITUTO ESCOLAR TIA TACY,0,4,1,1,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26385619,EDUCANDARIO VANESSA MARTINS,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26394618,ESCOLA CANTINHO FELIZ,9,15,0,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26399610,COLEGIO CRESCER,10,8,2,3,Em Atividade,S,S,N,N,S,N,Privada,URBANA
26447711,INSTITUTO PEDAGOGICO DE JATOBA,14,6,4,5,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26413892,ESCOLA SANTO EXPEDITO,11,5,0,0,Em Atividade,S,N,N,N,N,N,Privada,URBANA
