CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26113066,EDUCANDARIO SAO LUIZ,11,6,0,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26113074,COLEGIO JUSSARA FERREIRA,43,17,7,10,Em Atividade,S,S,S,S,N,N,Privada,URBANA
26113082,COLEGIO ZILDA OLIVEIRA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26113139,ESCOLA MUNJCIPAL ELPIDIO FRANCA,27,6,18,20,Em Atividade,S,S,N,S,N,N,Pública,RURAL
26113171,ESCOLA MUN ALEXANDRE JOSE BARBOSA LIMA,31,6,0,3,Em Atividade,S,N,N,N,N,N,Pública,URBANA
26113180,ESCOLA ANA AUGUSTO,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26113198,ESCOLA ANTONIO SOUTO FILHO,41,8,26,27,Em Atividade,S,S,N,S,N,S,Pública,URBANA
26113210,ESCOLA ARGENTINA CASTELLO BRANCO,50,11,17,18,Em Atividade,S,S,N,S,N,S,Pública,URBANA
26113236,ESCOLA AUREA DE MOURA CAVALCANTI,100,32,10,13,Em Atividade,S,S,S,S,S,N,Pública,URBANA
26113244,ESCOLA CANDIDO PORTINARI,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26136538,ESCOLA MUNICIPAL PASTOR DAVID RICHARD BLACKBURN,46,12,0,3,Em Atividade,S,N,N,N,N,S,Pública,URBANA
26136556,CENTRO EDUCACIONAL GASTAO VILLARIM,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26139448,COLEGIO SANTA ANA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26137917,COLEGIO ADALITA PONTES,4,6,1,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26137929,ACADEMIA GENTE NOVA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26137935,EDUCANDARIO ANA ELIZABETE,8,6,0,3,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26137968,COLEGIO E CURSO LUPAT LTDA,45,7,9,10,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26134590,ESCOLA CAMINHO DO SABER,5,4,0,1,Em Atividade,S,S,N,N,S,N,Privada,URBANA
26134626,EDUCANDARIO SAO SEVERINO DOS RAMOS,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26134637,EDUCANDARIO SANTA MARCELINA,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26134644,INSTITUTO MENINO JESUS,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26134655,CENTRO EDUCACIONAL DOS ARCANJOS,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26135465,INSTITUTO SANTA TEREZA,30,11,10,14,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26135472,ESCOLA SAO FRANCISCO DE ASSIS,12,5,5,6,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26135490,COLEGIO IMACULADO CORACAO DE MARIA,258,69,46,62,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26134673,INSTITUTO SANTA JOANA,6,2,0,0,Em Atividade,S,N,N,N,N,N,Privada,URBANA
26134680,EDUCANDARIO CULTURA INFANTIL,15,6,0,5,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26134691,EDUCANDARIO MARIA GORETE,17,11,7,8,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26134704,EDUCANDARIO SAO JOSE,14,12,3,4,Em Atividade,N,S,N,S,S,N,Privada,URBANA
26134710,EDUCANDARIO SAO FRANCISCO,5,8,1,1,Em Atividade,S,N,N,S,N,N,Privada,URBANA
26134721,INSTITUTO ALBA LUCIA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26134739,INSTITUTO EDUCACIONAL CONSTRUIR,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26134774,INSTITUTO RACKEL DE MENEZES,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26134792,ACADEMIA MUNDO INFANTIL,0,5,3,3,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26137120,COLEGIO JESUS SOBERANO,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
