CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola,NOME DA ENTIDADE,SIGLA DA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZACAO,NÚMERO DE ALUNOS NO CENSO,MÉDIA HUMANAS,MÉDIA NATUREZA,MÉDIA LINGUAGENS,MÉDIA MATEMATICA,MÉDIA REDAÇAO
26112701,ESCOLA DE REFERENCIA EM ENSINO MEDIO DE OLINDA,42,8,21,25,Em Atividade,S,S,N,S,N,N,Pública,URBANA,ESCOLA DE REFERENCIA EM ENSINO MEDIO DE OLINDA,PE,Olinda,Estadual,Urbana,66.0,540.152404785156,458.495239257813,507.600006103516,448.603179931641,538.412719726562
26113074,COLEGIO JUSSARA FERREIRA,43,17,7,10,Em Atividade,S,S,S,S,N,N,Privada,URBANA,COLEGIO JUSSARA FERREIRA,PE,Olinda,Privada,Urbana,35.0,577.436340332031,488.063629150391,527.557556152344,493.506072998047,610.303039550781
26113198,ESCOLA ANTONIO SOUTO FILHO,41,8,26,27,Em Atividade,S,S,N,S,N,S,Pública,URBANA,ESCOLA ANTONIO SOUTO FILHO,PE,Olinda,Estadual,Urbana,63.0,525.917663574219,454.017639160156,492.829406738281,440.094116210938,522.352966308594
26113236,ESCOLA AUREA DE MOURA CAVALCANTI,100,32,10,13,Em Atividade,S,S,S,S,S,N,Pública,URBANA,ESCOLA AUREA DE MOURA CAVALCANTI,PE,Olinda,Estadual,Urbana,208.0,525.092468261719,453.140563964844,471.25,429.465087890625,477.73583984375
26137968,COLEGIO E CURSO LUPAT LTDA,45,7,9,10,Em Atividade,S,S,S,S,S,N,Privada,URBANA,COLEGIO E CURSO LUPAT LTDA,PE,Olinda,Privada,Urbana,84.0,585.226257324219,518.469970703125,537.686279296875,500.579986572266,625.75
26135465,INSTITUTO SANTA TEREZA,30,11,10,14,Em Atividade,S,S,S,S,S,N,Privada,URBANA,INSTITUTO SANTA TEREZA,PE,Olinda,Privada,Urbana,29.0,555.35791015625,494.536834716797,511.45263671875,464.200012207031,555.789489746094
26135490,COLEGIO IMACULADO CORACAO DE MARIA,258,69,46,62,Em Atividade,S,S,S,S,S,N,Privada,URBANA,COLEGIO IMACULADO CORACAO DE MARIA,PE,Olinda,Privada,Urbana,117.0,638.147338867188,570.164306640625,579.25537109375,589.813415527344,698.214294433594
26137190,COLEGIO NOVA OLINDA,70,31,10,16,Em Atividade,S,S,N,S,S,S,Privada,URBANA,COLEGIO NOVA OLINDA,PE,Olinda,Privada,Urbana,85.0,549.086791992188,464.54150390625,500.299987792969,450.547180175781,507.169799804688
26142716,COLEGIO DOM,167,36,4,22,Em Atividade,S,S,S,S,S,N,Privada,URBANA,COLEGIO DOM,PE,Olinda,Privada,Urbana,120.0,623.427612304688,545.984497070313,567.541381835938,572.40087890625,685.0
26142724,COLEGIO MEMORIAL DE OLINDA,50,17,20,22,Em Atividade,S,S,N,S,S,N,Privada,URBANA,COLEGIO MEMORIAL DE OLINDA,PE,Olinda,Privada,Urbana,40.0,548.43212890625,465.282135009766,508.514282226563,461.114288330078,525.0
26500710,C L C COLEGIO E CURSO,220,7,10,10,Em Atividade,S,S,S,S,N,N,Privada,URBANA,C L C COLEGIO E CURSO,PE,Olinda,Privada,Urbana,95.0,579.094116210938,507.468231201172,528.936462402344,485.322357177734,595.058837890625
26150760,COLEGIO REAL,35,12,0,6,Em Atividade,S,S,N,N,S,N,Privada,URBANA,COLEGIO REAL,PE,Olinda,Privada,Urbana,22.0,528.87646484375,462.476470947266,494.2529296875,424.282348632813,481.176483154297
26170833,COLEGIO E CURSO UNIVERSO,27,7,1,4,Em Atividade,S,S,N,S,S,N,Privada,URBANA,COLEGIO E CURSO UNIVERSO,PE,Olinda,Privada,Urbana,17.0,485.718170166016,449.490905761719,442.818176269531,431.754547119141,476.363647460938
26162644,ESCOLA CORACAO DE JESUS MENINO,35,14,8,16,Em Atividade,S,S,S,S,S,N,Privada,URBANA,ESCOLA CORACAO DE JESUS MENINO,PE,Olinda,Privada,Urbana,27.0,586.368774414063,475.168762207031,524.674987792969,472.325012207031,560.0
26320614,COLEGIO E CURSO EXPOSITIVO,20,5,5,7,Em Atividade,S,S,S,S,S,N,Privada,URBANA,COLEGIO E CURSO EXPOSITIVO,PE,Olinda,Privada,Urbana,39.0,569.223510742188,480.417633056641,507.411773681641,457.564697265625,562.941162109375
26179393,COLEGIO E CURSO SANTA EMILIA LTDA,89,31,12,25,Em Atividade,S,S,S,S,S,N,Privada,URBANA,COLEGIO E CURSO SANTA EMILIA LTDA,PE,Olinda,Privada,Urbana,168.0,614.469177246094,550.091186523438,563.306945800781,578.466674804688,638.993713378906
26224658,OPVEST COLEGIO E CURSO,19,5,0,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA,OPVEST COLEGIO E CURSO,PE,Olinda,Privada,Urbana,22.0,570.942077636719,491.342102050781,522.173706054688,470.063171386719,570.526306152344
